M3U Channel,method,tvg-id
SPOTV V+,BOLA_NO_EPG,internal_0c131bf2
SPOTV 2 V+,BOLA_NO_EPG,internal_81a6c986
SPOTV PH,BOLA_NO_EPG,internal_4b53b8c7
SPOTV 2 PH,BOLA_NO_EPG,internal_4f05a1cc
SPOTV HD FM,BOLA_NO_EPG,internal_5ef7b841
SPOTV2 HD FM,BOLA_NO_EPG,internal_1e753d8d
LIGA BRI UP,BOLA_NO_EPG,internal_f9c950ff
BEIN SPORT 1 HD,BOLA_NO_EPG,internal_55de1f6c
BEIN SPORT 2 HD,BOLA_NO_EPG,internal_e2d5eedb
BEIN SPORT 3 HD,BOLA_NO_EPG,internal_cc89c3a5
BEIN SPORT XTRA,BOLA_NO_EPG,internal_d04a3a5a
SKY SPORTS LIVE 5 HD,BOLA_NO_EPG,internal_7c775c89
SKY SPORTS LIVE 6 HD,BOLA_NO_EPG,internal_f75045d8
LIGA BRI EVENT 2,BOLA_NO_EPG,internal_65ce071e
LIGA BRI EVENT 3,BOLA_NO_EPG,internal_544b5de2
LIGA BRI EVENT 1,BOLA_NO_EPG,internal_e1d15568
LIGA BRI EVENT 2,BOLA_NO_EPG,internal_65ce071e
LIGA BRI EVENT 4,BOLA_NO_EPG,internal_9c971064
LIGA BRI EVENT 5,BOLA_NO_EPG,internal_1f33764d
LIGA 1 BRI-15:30 PERSITA VS AREMA FC,BOLA_NO_EPG,internal_4a895071
LIGA 1 BRI-19:00 PERSEBAYA VS MADURA UNITED,BOLA_NO_EPG,internal_8fadf421
PRO LIGA-16:00 JAKARTA POPSIVO POLWAN VS JAKARTA ELECTRIC PLN,BOLA_NO_EPG,internal_45fa780d
PRO LIGA-19:00 JAKARTA LAVANI LIVIN TRANSMEDIA VS SURABAYA SAMATOR,BOLA_NO_EPG,internal_9361098b
BEIN SPORTS 5 HD,BOLA_NO_EPG,internal_30851d39
PRO LIGA  1,BOLA_NO_EPG,internal_46db14ec
LIGA EVENT,BOLA_NO_EPG,internal_9d57c3db
TNT SPORTS 1,BOLA_NO_EPG,internal_519e5f38
TNT SPORTS 2,BOLA_NO_EPG,internal_1b7fce1c
TNT SPORTS 3,BOLA_NO_EPG,internal_7d53d307
TNT SPORTS 4,BOLA_NO_EPG,internal_4f81c4ba
SKY SPORTS LALIGA,BOLA_NO_EPG,internal_ebad0a17
SKY SPORTS BUNDESLIGA,BOLA_NO_EPG,internal_b2e072cb
SKY SPORTS,BOLA_NO_EPG,internal_a758d414
SKY SPORTS 2,BOLA_NO_EPG,internal_765da840
SKY LIVE 1,BOLA_NO_EPG,internal_b044db28
SKY LIVE 2,BOLA_NO_EPG,internal_4dd3601b
